                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2943,                 36.249,                  0.979,                      0,                      0,                      0,                      0,                 3.3792,                 25.577,                0.87703,                0.00052,                0.00052,                0.00052
                      1,                 3.3143,                 17.517,                0.95141,                0.00013,                 0.0396,                  7e-05,                  1e-05,                 3.2383,                 22.879,                0.82777,              0.0010548,              0.0010548,              0.0010548
                      2,                 3.6086,                 15.366,                0.96067,                0.48379,                0.05588,                0.07675,                0.01437,                 3.7501,                 8.6673,                0.93485,              0.0015842,              0.0015842,              0.0015842
                      3,                 3.6012,                 12.012,                0.94481,                0.04128,                0.14851,                0.01281,                0.00272,                  3.084,                 16.128,                0.80726,              0.0019703,              0.0019703,              0.0019703
                      4,                 3.3716,                 8.2029,                0.91389,                0.06507,                0.16832,                0.02175,                0.00553,                 2.9373,                 36.478,                0.88822,              0.0019703,              0.0019703,              0.0019703
                      5,                 3.3007,                 7.6352,                0.93966,                0.00541,                0.18812,                0.00198,                0.00039,                 3.2932,                 807.79,                0.88213,              0.0019604,              0.0019604,              0.0019604
                      6,                 3.1552,                 5.6288,                0.90771,                0.34338,                0.23762,                0.13577,                0.03002,                 3.3348,                   5.66,                0.88187,              0.0019505,              0.0019505,              0.0019505
                      7,                 3.0131,                 5.1517,                0.90462,                0.44693,                0.20792,                0.17828,                0.03973,                 3.2054,                 4.2904,                0.86636,              0.0019406,              0.0019406,              0.0019406
                      8,                 3.1419,                 4.1242,                0.89632,                0.36633,                0.07453,                0.12242,                0.02693,                 3.3449,                 3.9903,                0.85778,              0.0019307,              0.0019307,              0.0019307
                      9,                 3.2457,                 3.8833,                0.90938,                0.66785,                0.23762,                0.30863,                0.09031,                 2.7961,                 2.7919,                0.82319,              0.0019208,              0.0019208,              0.0019208
                     10,                  3.079,                 3.3401,                0.88814,                 0.6522,                0.31683,                0.32813,                0.08466,                 3.3788,                 2.3314,                0.83188,              0.0019109,              0.0019109,              0.0019109
