                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.40699,                0.15387,                0.66867,                0.94746,                0.93142,                      1,                  0.995,                0.92303,                0.93142,                      1,                  0.995,                0.96667,                0.39195,                0.42953,                 1.0097,                0.96189,              0.0015446,              0.0015446,              0.0015446
                     25,                0.39915,                0.12513,                0.67554,                  0.931,                0.97175,                      1,                  0.995,                0.82839,                0.97175,                      1,                  0.995,                0.88433,                0.58775,                0.39641,                 1.3607,                 1.1538,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.4019,                0.12765,                0.63157,                0.90653,                 0.9858,                      1,                  0.995,                0.94529,                 0.9858,                      1,                  0.995,                0.98754,                0.31739,                0.24204,                 0.8809,                0.94653,               0.001505,               0.001505,               0.001505
                     27,                0.37095,                0.10564,                0.62223,                0.93853,                0.99203,                      1,                  0.995,                0.97453,                0.99203,                      1,                  0.995,                0.95357,                0.26335,                0.50136,                0.67441,                0.85416,              0.0014852,              0.0014852,              0.0014852
                     28,                0.37171,                0.09515,                0.59839,                0.91875,                0.99424,                      1,                  0.995,                0.95428,                0.99424,                      1,                  0.995,                0.90652,                0.33012,                0.75372,                0.70764,                0.89427,              0.0014654,              0.0014654,              0.0014654
                     29,                0.38305,                0.09922,                0.57136,                0.90748,                0.99426,                      1,                  0.995,                0.95532,                0.99426,                      1,                  0.995,                0.95484,                0.29378,                0.36361,                 0.7761,                0.87227,              0.0014456,              0.0014456,              0.0014456
                     30,                0.34941,                0.11458,                0.52739,                0.91667,                0.98816,                      1,                  0.995,                0.94305,                0.98816,                      1,                  0.995,                0.98859,                0.33759,                0.14802,                0.85751,                 0.9153,              0.0014258,              0.0014258,              0.0014258
                     31,                0.36188,                0.11706,                0.56922,                 0.9049,                0.97613,                      1,                  0.995,                0.97949,                0.97613,                      1,                  0.995,                0.98724,                0.30897,                 0.1445,                  0.821,                0.89664,               0.001406,               0.001406,               0.001406
                     32,                0.35912,                0.12595,                0.53613,                 0.9162,                0.99345,                      1,                  0.995,                0.98754,                0.99345,                      1,                  0.995,                0.98754,                0.33176,                 0.1439,                0.70374,                0.91811,              0.0013862,              0.0013862,              0.0013862
                     33,                0.37352,                0.14871,                0.56532,                0.91061,                0.99039,                      1,                  0.995,                0.94215,                0.99039,                      1,                  0.995,                0.97112,                0.36615,                0.19135,                0.64283,                0.94219,              0.0013664,              0.0013664,              0.0013664
                     34,                0.36192,                0.12631,                0.53485,                0.93828,                0.94305,                      1,                  0.995,                0.94535,                0.94305,                      1,                  0.995,                0.97757,                0.31713,                 0.1939,                0.63811,                0.88971,              0.0013466,              0.0013466,              0.0013466
                     35,                  0.334,                0.12059,                0.49542,                0.88518,                0.94103,                      1,                  0.995,                0.94752,                0.94103,                      1,                  0.995,                0.98825,                0.32687,                0.11692,                0.67003,                0.90095,              0.0013268,              0.0013268,              0.0013268
                     36,                0.37452,                0.13689,                0.52521,                0.92021,                0.93662,                      1,                0.98889,                0.94937,                0.93662,                      1,                0.98889,                0.98278,                0.33928,                0.11642,                0.83159,                0.89585,               0.001307,               0.001307,               0.001307
                     37,                0.40263,                0.12621,                0.56291,                0.96507,                0.69334,                      1,                0.93042,                0.89495,                0.69334,                      1,                0.93042,                0.93042,                0.32289,                0.19014,                0.91277,                0.86289,              0.0012872,              0.0012872,              0.0012872
                     38,                0.38053,                0.10583,                0.50611,                0.92431,                0.81436,                0.82353,                0.86658,                0.83867,                0.81436,                0.82353,                0.86658,                0.86658,                0.30122,                0.20986,                0.93951,                0.85962,              0.0012674,              0.0012674,              0.0012674
                     39,                0.33291,                0.11817,                0.47791,                0.89979,                0.98916,                0.94118,                0.98974,                0.95399,                0.98916,                0.94118,                0.98974,                0.98527,                0.26786,                0.18114,                0.61556,                0.82895,              0.0012476,              0.0012476,              0.0012476
                     40,                0.31871,                0.08964,                0.45523,                 0.9086,                      1,                0.99584,                  0.995,                 0.9566,                      1,                0.99584,                  0.995,                0.99079,                0.27515,                0.17518,                0.62024,                0.84756,              0.0012278,              0.0012278,              0.0012278
                     41,                0.31758,                0.08486,                0.43564,                0.89794,                0.99696,                      1,                  0.995,                0.99001,                0.99696,                      1,                  0.995,                  0.995,                0.23814,                0.15199,                0.57818,                0.83426,               0.001208,               0.001208,               0.001208
