                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4237,                 2.3959,                 2.1143,                0.67588,                0.62051,                0.63582,                0.37221,                 1.6111,                 2.0279,                 1.5249,              0.0004153,              0.0004153,              0.0004153
                      1,                 1.2725,                 1.0621,                 1.2636,                0.63012,                0.72739,                0.55696,                0.33431,                 1.2581,                    inf,                 1.2957,             0.00079078,             0.00079078,             0.00079078
                      2,                 1.0302,                0.84021,                  1.135,                0.88249,                0.75607,                0.81991,                0.58588,                 1.1828,                0.99778,                 1.2136,               0.001125,               0.001125,               0.001125
                      3,                0.92916,                0.72587,                 1.0887,                0.89813,                0.79574,                0.84833,                0.63221,                  1.078,                0.96261,                 1.1848,              0.0010644,              0.0010644,              0.0010644
                      4,                0.86506,                0.66072,                 1.0571,                0.86319,                0.77382,                0.83087,                0.63968,                 1.0782,                  1.335,                 1.2075,              0.0010644,              0.0010644,              0.0010644
                      5,                 0.8182,                0.61312,                 1.0314,                0.92964,                0.81926,                0.87549,                0.67843,                0.93521,                0.73421,                 1.0709,              0.0010025,              0.0010025,              0.0010025
                      6,                0.78876,                0.57686,                 1.0167,                0.91778,                0.82805,                0.88308,                0.68452,                 0.9423,                0.71141,                 1.0715,             0.00094062,             0.00094062,             0.00094062
                      7,                0.75825,                0.55366,                 1.0022,                0.90972,                 0.8254,                0.88323,                0.69846,                0.91279,                0.76544,                 1.0544,             0.00087875,             0.00087875,             0.00087875
                      8,                0.73685,                  0.528,                0.99016,                0.92888,                0.82638,                 0.8805,                0.69762,                0.88133,                0.82246,                 1.0472,             0.00081688,             0.00081688,             0.00081688
                      9,                0.72033,                0.51177,                0.98137,                0.94218,                0.84001,                0.89039,                0.71387,                0.87425,                0.71142,                 1.0485,               0.000755,               0.000755,               0.000755
                     10,                0.73815,                0.48524,                0.96416,                0.93782,                0.83879,                0.89164,                0.71483,                0.86925,                 0.7257,                 1.0298,             0.00069313,             0.00069313,             0.00069313
                     11,                0.71186,                0.45468,                0.95094,                0.93338,                0.85498,                0.89616,                0.72067,                 0.8437,                 0.6004,                 1.0046,             0.00063125,             0.00063125,             0.00063125
                     12,                0.68694,                0.43291,                0.93285,                0.92925,                0.85129,                0.90049,                0.72202,                0.84504,                0.68052,                 1.0145,             0.00056938,             0.00056938,             0.00056938
                     13,                0.67518,                0.41724,                 0.9262,                0.94814,                0.85753,                0.90151,                0.73838,                0.79946,                0.58061,                0.98777,              0.0005075,              0.0005075,              0.0005075
                     14,                0.65496,                0.40003,                0.91407,                 0.9247,                0.87086,                0.90578,                0.73654,                0.81061,                0.53259,                0.99648,             0.00044563,             0.00044563,             0.00044563
                     15,                 0.6383,                0.38773,                0.90964,                0.93517,                0.85732,                0.89903,                0.73748,                0.80285,                0.54103,                0.99627,             0.00038375,             0.00038375,             0.00038375
                     16,                 0.6247,                0.37307,                0.90127,                0.92906,                0.86684,                0.90932,                0.75011,                0.79397,                0.54728,                0.98744,             0.00032188,             0.00032188,             0.00032188
                     17,                0.61754,                0.36046,                0.89667,                0.94572,                0.86981,                0.91104,                0.75325,                0.77384,                  0.519,                0.98415,                0.00026,                0.00026,                0.00026
                     18,                0.59831,                0.34812,                0.89142,                  0.944,                0.86936,                0.91036,                0.75751,                0.78362,                0.52383,                0.98166,             0.00019813,             0.00019813,             0.00019813
                     19,                0.58593,                0.33905,                0.88584,                0.94935,                0.87563,                0.91446,                0.76126,                0.77747,                0.49338,                0.98147,             0.00013625,             0.00013625,             0.00013625
