                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1556,                 121.96,                0.95287,                  4e-05,                 0.0099,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,                0.00052,                0.00052,                0.00052
                      1,                 3.8182,                 20.237,                 1.0548,                  4e-05,                 0.0099,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0010548,              0.0010548,              0.0010548
                      2,                 3.9015,                 3.3203,                  1.029,                  4e-05,                 0.0099,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                      3,                 3.7721,                 2.7953,                 1.0063,                  4e-05,                 0.0099,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      4,                 3.6197,                 2.5698,                 0.9827,                  4e-05,                 0.0099,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      5,                 3.5449,                 2.4019,                0.97148,                0.32733,                0.14851,                0.10732,                0.02587,                 3.1433,                 2.4581,                0.87587,              0.0019604,              0.0019604,              0.0019604
                      6,                  3.448,                 2.2941,                0.95293,                0.10769,                 0.0396,                 0.0201,                0.00559,                 4.0915,                 3.9355,                  1.001,              0.0019505,              0.0019505,              0.0019505
                      7,                 3.4041,                 2.3828,                0.98263,                0.44484,                0.16832,                0.16321,                0.03658,                 3.2803,                 2.3499,                0.89179,              0.0019406,              0.0019406,              0.0019406
                      8,                 3.2729,                 2.1723,                 0.9415,                0.02445,                 0.0099,                0.01033,                0.00407,                 1.0631,                 1.9846,                0.38846,              0.0019307,              0.0019307,              0.0019307
                      9,                 3.4844,                  2.166,                0.94655,                0.50819,                0.28647,                0.23728,                0.05353,                 2.6902,                 1.9558,                0.82464,              0.0019208,              0.0019208,              0.0019208
                     10,                 3.2336,                 2.1357,                 0.9355,                0.49647,                0.29703,                0.22046,                0.06323,                 2.8708,                 3.4529,                0.83471,              0.0019109,              0.0019109,              0.0019109
                     11,                 3.2759,                  2.282,                 0.9175,                0.06504,                0.07921,                0.06518,                0.02137,                 3.2252,                 3.6111,                0.80384,               0.001901,               0.001901,               0.001901
                     12,                 3.2625,                 2.1097,                0.92827,                0.16875,                0.26733,                0.18065,                0.04341,                 3.2513,                 2.7942,                0.78135,              0.0018911,              0.0018911,              0.0018911
                     13,                 3.2731,                 2.2172,                0.93716,                 0.8696,                 0.0495,                0.06332,                 0.0198,                 3.2433,                 3.0599,                0.78342,              0.0018812,              0.0018812,              0.0018812
                     14,                 3.1695,                 2.0841,                0.94202,                0.52858,                0.36634,                 0.2833,                0.06206,                 3.1511,                 1.9948,                 0.8443,              0.0018713,              0.0018713,              0.0018713
                     15,                 3.1339,                 1.9252,                0.91398,                0.34853,                0.16832,                0.18607,                0.05364,                 3.2197,                 3.0042,                0.87995,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.9903,                 2.0586,                0.90091,                 0.6145,                0.40594,                0.40074,                0.09537,                 2.6363,                 1.6623,                0.82551,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.8872,                 1.8665,                0.89126,                0.57954,                0.31392,                0.26854,                0.06315,                   2.98,                 1.8143,                0.84943,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.9447,                 1.8722,                0.90139,                0.45245,                0.08911,                0.09272,                0.02322,                 2.6419,                 2.1377,                0.68523,              0.0018317,              0.0018317,              0.0018317
                     19,                 3.0984,                 1.8984,                0.90459,                0.42162,                0.21782,                0.16075,                0.03401,                  3.222,                  1.644,                0.86508,              0.0018218,              0.0018218,              0.0018218
                     20,                  3.071,                 1.8121,                0.90422,                0.11688,                0.26733,                0.16581,                0.03625,                 3.3197,                 3.0792,                0.84313,              0.0018119,              0.0018119,              0.0018119
                     21,                 3.0456,                 1.8524,                 0.8811,                0.65326,                0.32673,                0.35361,                0.08419,                  2.875,                 1.8236,                0.84214,               0.001802,               0.001802,               0.001802
                     22,                 3.1102,                 1.9109,                0.88653,                0.44188,                0.41584,                0.34856,                0.07557,                 2.8102,                 1.7253,                0.83125,              0.0017921,              0.0017921,              0.0017921
                     23,                 3.0533,                 1.9028,                 0.8914,                0.14286,                0.12871,                0.09497,                0.02746,                 3.2549,                  3.948,                0.80844,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.9728,                 1.8165,                  0.876,                0.48906,                0.42574,                 0.3709,                0.10795,                 2.5838,                 1.7147,                0.82458,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.9281,                 1.7229,                 0.8806,                0.69233,                0.40107,                0.41459,                0.10366,                 2.8425,                 1.5774,                0.83367,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.8952,                 1.7495,                0.88473,                0.65976,                0.43564,                0.40866,                0.13604,                 2.3891,                 1.7595,                0.81916,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.8666,                 1.8514,                 0.8649,                0.63343,                0.35644,                0.39726,                0.12606,                 2.6085,                 1.5258,                0.82289,              0.0017426,              0.0017426,              0.0017426
                     28,                  2.847,                 1.6899,                0.87262,                0.32692,                0.16832,                0.22077,                0.09709,                 2.9983,                  3.995,                0.87302,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.7802,                 1.7196,                0.87667,                0.64533,                0.44554,                0.37583,                0.11437,                 2.5734,                 1.5228,                0.82631,              0.0017228,              0.0017228,              0.0017228
                     30,                 2.6766,                   1.72,                 0.8642,                0.32392,                0.06931,                0.08465,                0.03178,                 3.1614,                 3.7553,                0.83119,              0.0017129,              0.0017129,              0.0017129
                     31,                 2.8005,                 1.6555,                0.85366,                0.62258,                0.42574,                0.40245,                0.11937,                 2.3765,                 1.4152,                0.80645,               0.001703,               0.001703,               0.001703
                     32,                 2.7589,                 1.5731,                0.87238,                0.20853,                0.43564,                0.34821,                0.11481,                 2.3871,                 2.4911,                0.82403,              0.0016931,              0.0016931,              0.0016931
                     33,                 2.7891,                 1.7679,                0.89277,                0.62673,                0.36634,                0.42461,                0.11278,                 2.5957,                 1.4299,                0.80891,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.7622,                 1.5678,                0.85029,                0.54453,                0.36634,                0.36079,                0.08564,                 2.8434,                 1.3781,                0.82954,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.6612,                 1.6178,                0.88647,                0.56644,                0.40103,                0.35644,                0.12337,                 2.3474,                 1.5609,                0.82033,              0.0016634,              0.0016634,              0.0016634
