                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4012,                 1.2348,                0.86515,                0.61676,                0.40594,                0.44431,                0.16191,                 2.2676,                 1.3122,                0.80708,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3336,                 1.2651,                0.84658,                0.62482,                0.42574,                0.45208,                0.15891,                 2.6005,                 1.5354,                0.81025,               0.001307,               0.001307,               0.001307
                     37,                 2.4546,                 1.2662,                0.85113,                0.59794,                0.43564,                 0.4579,                0.15383,                 2.3335,                 1.2864,                0.80529,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.5487,                  1.155,                0.86408,                0.38673,                0.26733,                0.23089,                0.07245,                 2.5192,                 1.6078,                0.79359,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.4594,                 1.1921,                 0.8577,                0.60067,                0.46535,                0.48645,                0.17778,                 2.0755,                 1.1376,                0.79442,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.4494,                 1.1548,                0.87027,                0.66109,                0.50495,                0.56691,                0.18832,                 2.1097,                 1.0831,                0.79699,              0.0012278,              0.0012278,              0.0012278
                     41,                  2.497,                 1.1788,                0.86231,                0.59721,                0.48515,                0.48933,                0.16468,                 2.3209,                 1.2741,                0.79941,               0.001208,               0.001208,               0.001208
                     42,                 2.3911,                 1.1904,                0.86571,                0.62617,                0.55446,                0.50866,                 0.1896,                 2.1223,                 1.0816,                0.79676,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3146,                 1.1539,                0.85509,                0.77578,                0.45545,                 0.5921,                 0.2123,                 2.0985,                 1.1034,                0.79246,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.3754,                 1.2003,                0.84904,                0.68256,                0.38614,                0.49922,                0.17202,                 2.2076,                 1.2754,                0.79094,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.3809,                 1.1256,                0.85266,                0.64205,                0.24866,                0.32945,                0.09976,                 2.5921,                 1.6547,                0.80062,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.3386,                 1.1136,                0.84673,                0.60013,                0.43096,                0.45253,                0.16604,                   2.14,                 1.2777,                0.79283,               0.001109,               0.001109,               0.001109
                     47,                 2.3834,                  1.134,                0.83703,                0.61579,                0.45545,                0.50485,                0.17849,                 2.3463,                 1.0879,                0.79405,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.3326,                 1.1646,                0.83976,                0.41808,                0.40547,                0.35467,                0.13744,                 2.2035,                  1.321,                0.79903,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.2672,                 1.0879,                0.86421,                0.60032,                0.36634,                0.40901,                0.13646,                 2.5036,                 1.2656,                0.79992,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2306,                 1.0863,                0.82997,                0.64249,                0.35588,                0.47514,                0.16119,                  2.189,                 1.2876,                0.79482,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.2277,                 1.0356,                0.83894,                 0.6225,                0.31025,                0.39489,                0.13152,                 2.3367,                  1.216,                0.79841,                0.00101,                0.00101,                0.00101
                     52,                 2.2559,                 1.1051,                0.84665,                0.53854,                0.33663,                0.35889,                0.12105,                  2.322,                 1.2445,                0.80006,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.4281,                 1.1082,                0.85445,                0.65206,                0.40594,                0.45892,                0.15966,                 2.2618,                 1.0648,                0.79878,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.1841,                 1.0676,                 0.8262,                0.69398,                0.53465,                0.55904,                0.19541,                 2.0658,                0.96937,                0.78643,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.2476,                 1.0554,                0.83871,                0.55201,                0.29284,                  0.379,                0.13087,                 2.1477,                 1.7129,                0.79089,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.2718,                 1.0363,                0.82764,                0.74103,                0.48166,                0.58606,                0.17655,                 2.1539,                 1.2042,                0.79351,               0.000911,               0.000911,               0.000911
                     57,                 2.1918,                 1.0238,                0.83705,                0.62363,                 0.4922,                0.50422,                0.18956,                 1.9473,                 1.0119,                0.78574,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.1982,                  0.977,                0.84604,                0.72876,                0.49505,                0.55917,                0.20513,                 2.0928,                0.93121,                 0.7949,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.2176,                 1.0505,                0.84997,                0.49417,                0.37624,                0.39317,                0.17203,                 1.8424,                 1.0164,                0.78955,              0.0008516,              0.0008516,              0.0008516
                     60,                  2.226,                 1.0799,                0.83091,                 0.4863,                0.34653,                0.34745,                0.11914,                 2.2924,                 1.2366,                0.79385,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.1519,                      1,                0.83712,                0.72941,                0.48515,                0.59905,                0.22571,                 2.0414,                0.97463,                0.79149,               0.000812,               0.000812,               0.000812
                     62,                 2.1027,                 1.0377,                0.82145,                 0.4585,                0.46535,                0.38776,                0.12255,                 2.4323,                 1.2635,                0.79497,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.1235,                0.94744,                0.84069,                0.66711,                0.41584,                0.48492,                0.14691,                 2.3383,                 1.1731,                0.78777,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.1847,                 1.1167,                0.84138,                0.45094,                 0.4798,                0.48136,                0.18576,                  1.916,                 1.1177,                0.78659,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.0943,                 1.0002,                 0.8396,                0.66374,                0.44554,                0.53108,                 0.2024,                 1.9421,                 1.1052,                0.78297,              0.0007328,              0.0007328,              0.0007328
