                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.66655,                 2.1914,                 3.7893,                 1.2928,                0.00095,                0.35294,                0.00071,                0.00026,                0.00079,                0.29412,                0.00057,                0.00032,                 1.4258,                 7.1525,                 11.759,                 2.4364,                 0.0001,                 0.0001,                 0.0001
                      1,                 0.5754,                 1.8077,                 3.4795,                 1.1833,                0.92857,                0.76471,                0.87283,                0.74097,                0.92857,                0.76471,                  0.879,                0.84464,                 0.4184,                0.21455,                  7.031,                 0.9644,             0.00017644,             0.00017644,             0.00017644
                      2,                0.32779,                0.22996,                0.76023,                0.91503,                0.86667,                0.76471,                0.84806,                0.38775,                0.86667,                0.76471,                0.84806,                 0.5159,                 1.2823,                0.33128,                 8.1446,                 2.0373,             0.00020536,             0.00020536,             0.00020536
                      3,                0.40454,                0.18417,                0.79638,                0.96024,                0.94444,                      1,                0.95278,                0.90027,                0.94444,                      1,                0.95278,                0.93183,                0.33404,                0.31799,                 4.5984,                0.91043,             0.00018676,             0.00018676,             0.00018676
                      4,                0.30847,                0.15746,                0.59086,                0.91292,                      1,                      1,                  0.995,                0.94686,                      1,                      1,                  0.995,                0.98618,                0.28425,                0.19345,                 3.2897,                0.88519,             0.00012064,             0.00012064,             0.00012064
