                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86081,                 2.3703,                 1.1026,                0.76339,                0.38015,                0.42221,                0.31334,                 2.2716,                 19.744,                 1.0869,             0.00066019,             0.00066019,             0.00066019
                      2,                 1.0358,                 1.8565,                 1.2083,                0.74939,                0.42131,                0.44591,                0.31097,                  2.466,                 12.678,                 1.3533,              0.0013203,              0.0013203,              0.0013203
                      3,                 1.0768,                 1.4002,                 1.2431,                0.71981,                0.34835,                0.37379,                0.26061,                 2.1828,                  19.64,                 1.1405,              0.0019738,              0.0019738,              0.0019738
                      4,                 1.0277,                   1.15,                 1.2189,                0.71095,                0.34542,                0.39463,                0.30012,                 2.2892,                 32.656,                0.99521,              0.0019703,              0.0019703,              0.0019703
                      5,                 0.9953,                 1.0356,                 1.1999,                0.80688,                0.43341,                0.48447,                0.34301,                 2.3608,                 2.6201,                  1.114,              0.0019604,              0.0019604,              0.0019604
                      6,                0.97099,                0.97805,                 1.1607,                0.84757,                0.48468,                0.51927,                0.37963,                 2.0902,                  2.046,                 1.0332,              0.0019505,              0.0019505,              0.0019505
                      7,                0.97385,                  0.963,                  1.181,                0.74489,                0.44068,                0.47154,                0.34304,                 2.0919,                 1.9306,                 1.0157,              0.0019406,              0.0019406,              0.0019406
                      8,                0.93835,                0.89802,                 1.1573,                0.82311,                0.45763,                0.50028,                0.36734,                 2.2904,                  1.957,                 1.0953,              0.0019307,              0.0019307,              0.0019307
                      9,                0.90128,                0.84997,                 1.1357,                0.80108,                0.48426,                0.51012,                0.38168,                 2.1638,                  2.077,                 1.0743,              0.0019208,              0.0019208,              0.0019208
                     10,                0.88893,                 0.7876,                 1.1185,                0.82073,                0.48668,                0.51092,                0.38238,                 2.1505,                 2.3942,                 1.0391,              0.0019109,              0.0019109,              0.0019109
                     11,                0.88877,                0.79232,                 1.1234,                0.88277,                0.47942,                  0.528,                0.39697,                 1.9135,                 1.7991,                0.99366,               0.001901,               0.001901,               0.001901
                     12,                0.90487,                0.81097,                 1.1181,                0.83387,                0.45278,                0.50222,                0.37474,                  1.965,                 1.6901,                  0.987,              0.0018911,              0.0018911,              0.0018911
                     13,                0.85913,                0.75583,                 1.0848,                0.90598,                0.48184,                 0.5344,                0.39023,                 2.0948,                 1.8035,                0.98794,              0.0018812,              0.0018812,              0.0018812
                     14,                0.86269,                0.77684,                 1.0998,                0.78846,                0.50363,                0.52632,                0.39883,                 2.0211,                 1.6958,                0.98131,              0.0018713,              0.0018713,              0.0018713
                     15,                   0.85,                0.74452,                 1.0952,                0.89478,                0.49395,                0.54209,                0.40725,                  2.025,                  1.676,                0.96134,              0.0018614,              0.0018614,              0.0018614
                     16,                0.82542,                0.70181,                 1.0775,                0.91553,                0.49863,                0.55632,                0.41634,                 1.9496,                 1.6097,                0.96984,              0.0018515,              0.0018515,              0.0018515
                     17,                0.80731,                0.68007,                 1.0688,                0.85334,                0.49309,                0.53379,                0.39586,                 1.8721,                 2.0318,                0.95791,              0.0018416,              0.0018416,              0.0018416
                     18,                0.83412,                0.67848,                 1.0735,                0.91031,                0.49395,                0.54268,                0.41088,                 1.9671,                 1.7936,                0.96331,              0.0018317,              0.0018317,              0.0018317
                     19,                0.82713,                0.68346,                 1.0788,                0.90206,                 0.4906,                0.53974,                0.39761,                 2.0476,                 1.6772,                 1.0146,              0.0018218,              0.0018218,              0.0018218
                     20,                0.82349,                0.68988,                 1.0811,                 0.8355,                0.49637,                0.52638,                0.41138,                  2.012,                 1.6669,                0.98488,              0.0018119,              0.0018119,              0.0018119
                     21,                0.81518,                0.67831,                 1.0701,                0.83211,                0.49204,                0.55649,                0.40965,                 1.8838,                 1.4926,                0.95443,               0.001802,               0.001802,               0.001802
                     22,                0.81564,                0.63577,                 1.0714,                0.89764,                0.50959,                0.55708,                0.41282,                 1.9889,                 1.4542,                0.96031,              0.0017921,              0.0017921,              0.0017921
                     23,                0.78693,                0.63421,                 1.0576,                0.94049,                 0.4975,                0.55562,                0.41039,                 1.9383,                 1.6588,                0.97384,              0.0017822,              0.0017822,              0.0017822
                     24,                0.78349,                0.63534,                 1.0485,                0.92676,                0.50121,                0.57022,                 0.4233,                 1.7771,                 1.4932,                 0.9336,              0.0017723,              0.0017723,              0.0017723
                     25,                0.79378,                0.63025,                 1.0458,                0.92397,                0.50363,                0.56056,                0.42613,                 1.9041,                  1.414,                0.96091,              0.0017624,              0.0017624,              0.0017624
                     26,                0.76753,                0.62795,                 1.0472,                0.88137,                0.49637,                0.53805,                 0.4198,                 2.0439,                 1.9535,                0.97562,              0.0017525,              0.0017525,              0.0017525
